SnapshotMonth,Region,ProductID,OpeningStock,Received,Sold,ClosingStock,ReorderLevel
2024-01-01,North,SKU001,854,707,831,730,205
2024-01-01,South,SKU001,1037,621,740,918,278
2024-01-01,East,SKU001,874,744,791,827,301
2024-01-01,West,SKU001,1038,294,501,831,244
2024-01-01,Central,SKU001,664,329,646,347,204
2024-01-01,North,SKU002,478,259,835,0,223
2024-01-01,South,SKU002,843,722,245,1320,151
2024-01-01,East,SKU002,1087,658,387,1358,276
2024-01-01,West,SKU002,1010,260,292,978,275
2024-01-01,Central,SKU002,1096,641,192,1545,276
2024-01-01,North,SKU003,419,610,412,617,227
2024-01-01,South,SKU003,1115,429,674,870,320
2024-01-01,East,SKU003,379,702,888,193,310
2024-01-01,West,SKU003,474,107,596,0,258
2024-01-01,Central,SKU003,257,200,779,0,166
2024-01-01,North,SKU004,1051,265,513,803,290
2024-01-01,South,SKU004,652,638,756,534,299
2024-01-01,East,SKU004,348,719,727,340,319
2024-01-01,West,SKU004,1074,534,621,987,311
2024-01-01,Central,SKU004,456,303,363,396,272
2024-01-01,North,SKU005,679,574,752,501,181
2024-01-01,South,SKU005,378,511,163,726,305
2024-01-01,East,SKU005,1174,631,456,1349,296
2024-01-01,West,SKU005,927,748,599,1076,192
2024-01-01,Central,SKU005,962,526,213,1275,307
2024-01-01,North,SKU006,973,749,808,914,187
2024-01-01,South,SKU006,262,735,515,482,346
2024-01-01,East,SKU006,1046,437,608,875,192
2024-01-01,West,SKU006,418,342,295,465,150
2024-01-01,Central,SKU006,474,167,588,53,247
2024-01-01,North,SKU007,937,767,592,1112,157
2024-01-01,South,SKU007,712,417,430,699,218
2024-01-01,East,SKU007,278,321,802,0,214
2024-01-01,West,SKU007,365,104,553,0,259
2024-01-01,Central,SKU007,1106,179,230,1055,158
2024-01-01,North,SKU008,603,401,238,766,320
2024-01-01,South,SKU008,925,314,635,604,256
2024-01-01,East,SKU008,588,719,741,566,217
2024-01-01,West,SKU008,1171,443,681,933,193
2024-01-01,Central,SKU008,1173,373,479,1067,166
2024-01-01,North,SKU009,544,154,299,399,218
2024-01-01,South,SKU009,923,772,869,826,282
2024-01-01,East,SKU009,565,246,412,399,194
