OrderID,OrderDate,Region,City,Channel,DistributorID,ProductID,Quantity,UnitPrice,DiscountPct,ReturnedQty,Revenue
ORD113626,2025-03-24,North,Delhi,General Trade,DIST-NO-2,SKU020,1,237.15,15.0,0,237.15
ORD117634,2025-07-22,central,Bhopal,E-commerce,DIST-CE-3,SKU001,2,119.0,0.0,0,238.0
ORD103641,2024-05-04,Central,Bhopal,Modern Trade,DIST-CE-2,SKU010,3,160.55,5.0,0,481.65
ORD120831,2025-11-01,East,Bhubaneswar,Pharmacy,DIST-EA-3,SKU014,1,198.55,5.0,0,198.55
ORD114139,2025-04-09,East,Patna,E-commerce,DIST-EA-2,SKU006,1,45.08,8.0,0,45.08
ORD104585,2024-06-03,North,Lucknow,General Trade,DIST-NO-3,SKU012,1,139.0,0.0,0,139.0
ORD112121,2025-02-01,North,Chandigarh,General Trade,DIST-NO-3,SKU006,1,46.55,5.0,0,46.55
ORD117034,2025-06-30,West,Mumbai,Modern Trade,DIST-WE-3,SKU019,1,189.0,0.0,0,189.0
ORD104152,2024-05-20,West,Pune,Modern Trade,DIST-WE-3,SKU004,3,177.65,15.0,0,532.95
ORD110775,2024-12-21,South,Bengaluru,Pharmacy,DIST-SO-3,SKU006,2,49.0,0.0,0,98.0
ORD116614,2025-06-18,Central,Nagpur,Pharmacy,DIST-CE-3,SKU005,3,89.1,10.0,0,267.3
ORD112070,2025-01-30,East,Bhubaneswar,Modern Trade,DIST-EA-2,SKU002,1,109.0,0.0,0,109.0
ORD101114,2024-02-09,West,Ahmedabad,General Trade,DIST-WE-2,SKU016,1,649.0,0.0,0,649.0
ORD106001,2024-07-22,South,Hyderabad,E-commerce,DIST-SO-2,SKU013,1,169.0,0.0,0,169.0
ORD102895,2024-04-10,East,Patna,E-commerce,DIST-EA-3,SKU015,1,149.0,0.0,0,149.0
ORD110493,2024-12-13,South,Bengaluru,Modern Trade,DIST-SO-2,SKU004,4,198.55,5.0,0,794.2
ORD121969,2025-11-28,North,Chandigarh,General Trade,DIST-NO-1,SKU020,12,251.1,10.0,0,3013.2
ORD119592,2025-10-02,North,Chandigarh,General Trade,DIST-NO-2,SKU004,3,198.55,5.0,0,595.65
ORD107480,2024-09-18,East,Kolkata,Modern Trade,DIST-EA-2,SKU010,10,143.65,15.0,0,1436.5
ORD111787,2025-01-20,West,Mumbai,General Trade,DIST-WE-1,SKU004,2,209.0,0.0,0,418.0
ORD117539,2025-07-18,East,Patna,E-commerce,DIST-EA-1,SKU020,6,251.1,10.0,0,1506.6
ORD102094,2024-03-14,East,Bhubaneswar,General Trade,DIST-EA-1,SKU020,12,265.05,5.0,0,3180.6
ORD108092,2024-10-09,North,Chandigarh,Pharmacy,DIST-NO-3,SKU015,2,119.2,20.0,0,238.4
ORD115235,2025-05-11,North,Chandigarh,Modern Trade,DIST-NO-3,SKU008,5,119.0,0.0,0,595.0
ORD117005,2025-06-29,East,Patna,General Trade,DIST-EA-2,SKU017,4,1196.05,5.0,0,4784.2
ORD121623,2025-11-20,West,Ahmedabad,General Trade,DIST-WE-3,SKU012,3,139.0,0.0,0,417.0
ORD106455,2024-08-11,West,Ahmedabad,General Trade,DIST-WE-1,SKU007,1,75.65,15.0,0,75.65
ORD123164,2025-12-28,South,Bengaluru,Modern Trade,DIST-SO-3,SKU009,12,99.0,0.0,0,1188.0
ORD101018,2024-02-05,Central,Nagpur,Modern Trade,DIST-CE-3,SKU015,1,149.0,0.0,0,149.0
ORD116485,2025-06-14,South,Chennai,General Trade,DIST-SO-1,SKU013,1,169.0,0.0,0,169.0
ORD116123,2025-06-05,South,Bengaluru,General Trade,DIST-SO-2,SKU009,1,94.05,5.0,0,94.05
ORD112421,2025-02-10,South,Hyderabad,Modern Trade,DIST-SO-3,SKU001,4,101.15,15.0,0,404.6
ORD104830,2024-06-10,South,Bengaluru,Modern Trade,DIST-SO-1,SKU006,1,49.0,0.0,0,49.0
ORD108120,2024-10-10,West,Pune,General Trade,DIST-WE-1,SKU013,1,169.0,0.0,0,169.0
ORD112347,2025-02-08,Central,Nagpur,Modern Trade,DIST-CE-3,SKU021,1,349.0,0.0,0,349.0
ORD105284,2024-06-24,South,Chennai,E-commerce,DIST-SO-1,SKU010,2,155.48,8.0,0,310.96
ORD113366,2025-03-15,West,Mumbai,General Trade,DIST-WE-2,SKU006,1,46.55,5.0,0,46.55
ORD103058,2024-04-15,North,Lucknow,General Trade,DIST-NO-1,SKU020,4,279.0,0.0,0,1116.0
ORD101027,2024-02-06,South,Bengaluru,Modern Trade,DIST-SO-1,SKU008,1,119.0,0.0,0,119.0
ORD106900,2024-08-27,North,Delhi,General Trade,DIST-NO-3,SKU009,4,99.0,0.0,0,396.0
ORD120738,2025-10-30,Central,Bhopal,Pharmacy,DIST-CE-2,SKU004,1,209.0,0.0,0,209.0
ORD105003,2024-06-15,Central,Nagpur,General Trade,DIST-CE-2,SKU017,1,1259.0,0.0,0,1259.0
ORD104231,2024-05-23,East,Patna,Modern Trade,DIST-EA-3,SKU017,2,1259.0,0.0,0,2518.0
ORD104851,2024-06-11,South,Chennai,General Trade,DIST-SO-2,SKU022,2,407.15,15.0,0,814.3
ORD102610,2024-04-01,East,Bhubaneswar,Modern Trade,DIST-EA-3,SKU009,4,94.05,5.0,0,376.2
ORD115022,2025-05-05,East,Patna,Pharmacy,DIST-EA-2,SKU004,1,188.1,10.0,0,188.1
ORD117736,2025-07-26,West,Mumbai,Modern Trade,DIST-WE-2,SKU011,5,119.0,0.0,0,595.0
ORD116997,2025-06-29,West,Pune,Modern Trade,DIST-WE-1,SKU007,10,81.88,8.0,0,818.8
ORD109826,2024-11-26,South,Bengaluru,General Trade,DIST-SO-3,SKU018,1,937.48,8.0,0,937.48
ORD106037,2024-07-23,South,Hyderabad,Modern Trade,DIST-SO-2,SKU021,6,314.1,10.0,0,1884.6
ORD119373,2025-09-24,North,Delhi,General Trade,DIST-NO-2,SKU021,1,349.0,0.0,0,349.0
ORD110299,2024-12-08,South,Chennai,General Trade,DIST-SO-2,SKU015,5,149.0,0.0,0,745.0
ORD112210,2025-02-04,West,Mumbai,General Trade,DIST-WE-3,SKU012,4,132.05,5.0,0,528.2
ORD101271,2024-02-14,East,Patna,General Trade,DIST-EA-2,SKU012,2,127.88,8.0,0,255.76
ORD106351,2024-08-07,South,Bengaluru,General Trade,DIST-SO-1,SKU001,4,119.0,0.0,0,476.0
ORD101252,2024-02-13,East,Patna,E-commerce,DIST-EA-3,SKU014,3,192.28,8.0,0,576.84
ORD105870,2024-07-15,East,Patna,E-commerce,DIST-EA-2,SKU021,4,331.55,5.0,0,1326.2
ORD111103,2024-12-30,East,Bhubaneswar,Modern Trade,DIST-EA-3,SKU014,4,177.65,15.0,0,710.6
ORD120393,2025-10-21,West,Pune,E-commerce,DIST-WE-2,SKU003,4,219.0,0.0,0,876.0
ORD102099,2024-03-14,Central,Bhopal,Modern Trade,DIST-CE-1,SKU021,4,349.0,0.0,0,1396.0
ORD112437,2025-02-11,North,Chandigarh,General Trade,DIST-NO-2,SKU009,3,99.0,0.0,0,297.0
ORD111660,2025-01-16,Central,Nagpur,Modern Trade,DIST-CE-2,SKU015,2,137.08,8.0,0,274.16
